Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
High Alert: First Strike,2,Port Cutter,"{Gain 2 Trade} {Gain 2 Combat}
<hr>
{Trade Federation Ally}: {Gain 3 Authority}
<hr>
Pay {1 Trade} less to acquire this card for each {Trade Federation} card you have in play.",Ship,Trade Federation,2,,Trade Deck,
High Alert: First Strike,1,Sapphire City Base,"{Gain 2 Combat} {Gain 2 Authority}
<hr>
Pay {1 Trade} less to acquire this card for each {Trade Federation} card you have in play.",Base,Trade Federation,5,,Trade Deck,
High Alert: First Strike,2,Scavenger Bot,"{1 Trade} You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 3 Combat}
<hr>
{Double Machine Cult Ally}: Draw a card.",Ship,Machine Cult,2,,Trade Deck,The top ability is a primary ability that gives you 1 Trade and an effect. You do not pay 1 trade in order to activate the abiltiy.
High Alert: First Strike,1,Scrap Factory,"Scrap a card in your hand or discard pile.
<hr>
Pay {1 Trade} less to acquire this card for each {Machine Cult} card you have in play.",Base,Machine Cult,7,7,Trade Deck,
High Alert: First Strike,1,Spike Colony,"{Gain 4 Combat}
<hr>
Pay {1 Trade} less to acquire this card for each {Blob} card you have in play.",Base,Blob,5,5,Trade Deck,
High Alert: First Strike,1,Trading Colony,"{Gain 2 Trade}
<hr>
{Blob Ally}: {Gain 4 Combat}
<hr>
{Double Blob Ally}: Acquire a ship for free and put it directly on top of your deck.",Base,Blob,6,5,Trade Deck,
High Alert: First Strike,1,War Mech,"{10 combat} Put up to two bsaes from your discard pile on top of your deck.
<hr>
{Combat}: Draw a card.
<hr>
Pay {1 Trade} less to acquire this card for each {Machine Cult} card you have in play.",Ship,Machine Cult,8,,Trade Deck,The top ability is a primary ability that gives you 10 Combat and an effect. You do not pay 10 Combat in order to activate the abiltiy.
High Alert: Tech,2,Guidance,Pay {1 Trade}: Scrap a card in the trade row.,Tech,,1,,Trade Deck,
High Alert: Tech,2,Laser,Pay {1 Trade}: Gain {1 Combat},Tech,,2,,Trade Deck,
High Alert: Tech,1,Processing,Pay {2 Trade}: Put the next card you acquire this turn directly on top of your deck.,Tech,,4,,Trade Deck,
High Alert: Tech,2,Shield,Pay {1 Trade}: Gain {1 Authority},Tech,,1,,Trade Deck,
High Alert: Tech,1,Stealth,Pay {2 Trade}: Choose a faction. You ocunt as having an additional card of that faction in play this turn.,Tech,,3,,Trade Deck,
High Alert: Tech,2,Stellar Link,Pay {2 Trade}: Look at the top two cards of your deck. Put one into your discard pile and the other back on top of your deck.,Tech,,3,,Trade Deck,
High Alert: Tech,1,Tractor Beam,Pay {2 Trade}: Return target base to its owner's hand.,Tech,,4,,Trade Deck,
High Alert: Tech,1,Warp,"Pay {2 Trade}: Draw a card, then discard a card.",Tech,,4,,Trade Deck,
High Alert: Requisition,2,Corsair,"{Gain 3 Trade}
<hr>
{Trade Federation Ally}: {Gain 4 Combat}
<hr>
Pay {1 Trade} less to acquire this card for each {Trade Federation} card you have in play.",Ship,Trade Federation,3,,Trade Deck,
High Alert: Requisition,2,Hellfire,"{5 Combat}: Target opponent discards a card.
<hr>
{Star Empire Ally}: Draw a card, then discard a card.
<hr>
Pay {1 Trade} less to acquire this card for each {Star Empire} card you have in play.",Ship,Star Empire,4,,Trade Deck,
High Alert: Requisition,1,Lunar Landing,"For each {Trade Federation} card you have in play, gain {1 Authority} and draw a card.
<hr>
Pay {1 Trade} less to acquire this card for each {Trade Federation} card you have in play.",Base,Trade Federation,9,5,Trade Deck,
High Alert: Requisition,2,Operations Platform,"{Gain 1 Trade} or {Gain 1 Combat}
<hr>
Pay {1 Trade} less to acquire this card for each {Machine Cult} card you have in play.",Base,Machine Cult,3,4,Trade Deck,
High Alert: Requisition,1,Swarm Colony,"Discard a card.
<hr>
{Blob Ally}: {Gain 4 Combat}
<hr>
Pay {1 Trade} less to acquire this card for each {blob} card you have in play.",Base,Blob,6,5,Trade Deck,
High Alert: Requisition,1,Tanker Mech,"{Gain 4 Trade}
<hr>
{Machine Cult} Scrap a card in your hand or discard pile.
<hr>
{Scrap}: Draw a card.
<hr>
Pay {1 Trade} less to acquire this card for each {Machine Cult} card you have in play.",Ship,Machine Cult,5,,Trade Deck,
High Alert: Requisition,1,The Armory,"{3 Trade}: Target opponent discards a card.
<hr>
Pay {1 Trade} less to acquire this card for each {Star Empire} card you have in play.",Base,Star Empire,7,6,Trade Deck,
High Alert: Requisition,2,Warrior Pod,"{Gain 4 Combat}
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
Pay {1 Trade} less to acquire this card for each {Blob} card you have in play.",Ship,Blob,2,,Trade Deck,
High Alert: Invasion,1,Alpha Max,"{Gain 5 Combat} Draw a card.
<hr>
{Blob Ally}: Draw a card.
<hr>
{Double Blob Ally}: Draw a card.",Ship,Blob,7,,Trade Deck,
High Alert: Invasion,1,Arsenal,"{Gain 2 Combat}
Draw a card, then discard a card.",Base,Star Empire,5,5,Trade Deck,
High Alert: Invasion,2,Cargo Raptor,"{Gain 3 Trade}
<hr>
{Star Empire Ally}: {Gain 2 Combat}
<hr>
{Double Star Empire Ally}: Target opponent discards a card.",Ship,Star Empire,2,,Trade Deck,
High Alert: Invasion,2,Fusion Bot,"{Gain 5 Combat}
<hr>
{Machine Cult Ally}: Scrap a card in your hand or discard pile.
<hr>
{Double Machine Cult Ally}: Draw a card.",Ship,Machine Cult,3,,Trade Deck,
High Alert: Invasion,1,Mech Fortress,"Draw a card.
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 5 Combat}",Base,Machine Cult,8,6,Trade Deck,
High Alert: Invasion,1,Naval Yard,{Gain 3 Trade} or {Gain 4 Authority},Base,Trade Federation,6,6,Trade Deck,
High Alert: Invasion,2,Swarm Cell,"{Gain 2 Combat}
<hr>
{Blob Ally}: {Gain 2 Combat}",Base,Blob,2,3,Trade Deck,
High Alert: Invasion,2,Voyager,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: {Gain 2 Combat}
<hr>
{Double Trade Federation Ally}: {Gain 4 Authority}",Ship,Trade Federation,1,,Trade Deck,
High Alert: Heroes,1,Administrator Tung,"{Gain an Alignment Ally}
<hr>
{Scrap}: {Gain an Alignment Ally}",Hero,Machine Cult / Star Empire,1,,Trade Deck,
High Alert: Heroes,1,Bio-Captain Kalle,"Gain a Union Ally}
<hr>
{Scrap}:
{Gain a Union Ally}
Choose One:
• {2 Combat} Target oppenent discards a card.
• {3 Combat} Scrap a card in the trade row.",Hero,Blob / Star Empire,3,,Trade Deck,
High Alert: Heroes,1,Bio-Warrior Storm,"Gain a Union Ally}
<hr>
{Scrap}: {Gain a Union Ally}",Hero,Blob / Star Empire,1,,Trade Deck,
High Alert: Heroes,1,Biodroid Otto,"{Gain a Unity Ally}
<hr>
{Scrap}:
{Gain a Unity Ally}
Choose One:
• {3 Combat} Scrap a card in the trade row.
• Scrap a card in your hand or discard pile.",Hero,Blob / Machine Cult,4,,Trade Deck,
High Alert: Heroes,1,Bioform Freeman,"{Gain a Unity Ally}
<hr>
{Scrap}: {Gain a Unity Ally}",Hero,Blob / Machine Cult,1,,Trade Deck,
High Alert: Heroes,1,Data Priest Kaufman,"{Gain a Coalition Ally}
<hr>
{Scrap}: {Gain a Coalition Ally}",Hero,Trade Federation / Machine Cult,1,,Trade Deck,
High Alert: Heroes,1,Doctor Clark,"{Gain an Alliance Ally}
<hr>
{Scrap}: {Gain an Alliance Ally}",Hero,Trade Federation / Star Empire,1,,Trade Deck,
High Alert: Heroes,1,High Admiral Shaner,"{Gain an Alliance Ally}
<hr>
{Scrap}:
{Gain an Alliance Ally}
Choose One:
• {2 Combat} Target opponent discards a card.
• Gain {6 Authority}.",Hero,Trade Federation / Star Empire,3,,Trade Deck,
High Alert: Heroes,1,Pact Manager Scott,"{Gain a Pact Ally}
<hr>
{Scrap}:
{Gain a Pact Ally}
Choose One:
• {3 Combat} Scrap a card in the trade row.
• Gain {6 Authority}.",Hero,Blob / Trade Federation,3,,Trade Deck,
High Alert: Heroes,1,Pact Searcher Sheldon,"{Gain a Pact Ally}
<hr>
{Scrap}: {Gain a Pact Ally}",Hero,Blob / Trade Federation,1,,Trade Deck,
High Alert: Heroes,1,Strategist Thompson,"{Gain a Coalition Ally}
<hr>
{Scrap}:
{Gain a Coalition Ally}
Choose One:
• Scrap a card in your hand or discard pile.
• Gain {6 Authority}.",Hero,Trade Federation / Machine Cult,3,,Trade Deck,
High Alert: Heroes,1,Templar Brehmer,"{Gain an Alignment Ally}
<hr>
{Scrap}:
{Gain a Alignment Ally}
Choose One:
• {2 Combat}: Target opponent discards a card.
• Scrap a card in your hand or discard pile.",Hero,Star Empire / Machine Cult,3,,Trade Deck,
Universal Storage Box,2,Brooder,"{Gain 6 Combat}
Put a random Pod Token into play.
<hr>
{Blob Ally}: Hatch a Pod Token.",Ship,Blob,4,,Trade Deck,
Universal Storage Box,2,Embassy Transport,"{Gain 3 Trade} {Gain 3 Authority}
<hr>
{Scrap}: Draw a card for each base you have in play.",Ship,Trade Federation,4,,Trade Deck,
Universal Storage Box,2,Orbital Crane,"{Gain 2 Trade}
You may return target base to its owner’s hand.
<hr>
{Star Empire Ally}: Draw a card.",Ship,Star Empire,3,,Trade Deck,
Universal Storage Box,2,Recovery Mech,"{Gain 5 Combat}
You may put a card from your discard pile on top of your deck.",Ship,Machine Cult,4,,Trade Deck,
Universal Storage Box,1,Mutant Drone | Pod Token,"Acquire a card of cost two or less for free and put it into your hand.
When this card leaves play, return it to the Pod Token pile.
|
When this card leaves play, return it to the Pod Token pile.
<hr>
{Blob Ally}: If this Pod Token didn’t come into play this turn, it hatches (flip it over).",Ship | Base,Blob,,| 2,Token,
Universal Storage Box,3,Warrior Drone | Pod Token,"{Gain 3 Combat}
When this card leaves play, return it to the Pod Token pile.
|
When this card leaves play, return it to the Pod Token pile.
<hr>
{Blob Ally}: If this Pod Token didn’t come into play this turn, it hatches (flip it over).",Ship | Base,Blob,,| 2,Token,
Universal Storage Box,2,Worker Drone | Pod Token,"{Gain 2 Trade}
When this card leaves play, return it to the Pod Token pile.
|
When this card leaves play, return it to the Pod Token pile.
<hr>
{Blob Ally}: If this Pod Token didn’t come into play this turn, it hatches (flip it over).",Ship | Base,Blob,,| 2,Token,
Universal Storage Box,1,Young Queen | Pod Token,"Draw two cards.
When this card leaves play, return it to the Pod Token pile.
|
When this card leaves play, return it to the Pod Token pile.
<hr>
{Blob Ally}: If this Pod Token didn’t come into play this turn, it hatches (flip it over).",Ship | Base,Blob,,| 2,Token,
Stellar Allies,2,Alignment Bot,"{Gain 2 Trade}
<hr>
{Scrap}: Scrap a card from your discard pile <u>or</u> Gain {2 Combat} and target opponent discards a card.",Ship,Machine Cult / Star Empire,1,,Trade Deck,
Stellar Allies,1,Missile Silo,"{Gain 3 Combat}
<hr>
{Star Empire Ally}: Target opponent discards a card.
<hr>
{Machine Cult Ally}: Destroy target base.",Base,Machine Cult / Star Empire,6,5 Outpost,Trade Deck,
Stellar Allies,2,Needle Lancer,"{Gain 5 Combat}
<hr>
{Alignment Ally (Machine Cult or Star Empire)}: Copy an ally ability that you’ve already used this turn.",Ship,Machine Cult / Star Empire,3,,Trade Deck,
Stellar Allies,2,Pact Pod,"{Gain 2 Trade}
<hr>
{Blob Ally}: {Gain 5 Combat}
<hr>
{Trade Federation Ally}: {Gain 1 Trade}",Ship,Blob / Trade Federation,2,,Trade Deck,
Stellar Allies,2,Pact Warship,"{Gain 5 Combat}
<hr>
{Blob Ally}: Destroy target base.
<hr>
{Trade Federation Ally}: {Gain 5 Authority}",Ship,Blob / Trade Federation,4,,Trade Deck,
Stellar Allies,1,Summit Site,Draw two cards.,Base,Blob / Trade Federation,8,6,Trade Deck,
Stellar Allies,1,The Citadel,Target opponent discards a card. You may scrap a card in your hand or discard pile.,Base,Machine Cult / Star Empire,7,7 Outpost,Trade Deck,
Stellar Allies,1,Trade Hive,"{Gain 2 Trade}
<hr>
{Pact Ally (Blob or Trade Federation)}: Draw a card.",Base,Blob / Trade Federation,5,4,Trade Deck,
Stellar Allies,1,Rules (Faction Pairs) | Ad (Star Realms United),,Rules,,,,Rules,
Command Deck: Lost Fleet,1,Lost Dreadnaught,"{Gain 7 Combat}
Draw two cards. Lost Dreadnaught has all factions.",Ship,Unaligned,8,,Trade Deck,
Command Deck: Lost Fleet,3,Assault Shard,"{Gain 1 Combat}
<hr>
{Splinter}: {Gain 4 Combat}",Ship,Unaligned,,,Trade Deck,
Command Deck: Lost Fleet,2,Command Shard,"{Gain 1 Trade}
You may treat this card as having any name when using a {Splinter} ability.",Ship,Unaligned,,,Trade Deck,
Command Deck: Lost Fleet,3,Recon Shard,"{Gain 1 Trade}
<hr>
{Splinter}: {Gain 5 Authority}",Ship,Unaligned,,,Trade Deck,
Command Deck: Lost Fleet,3,Salvage Shard,"{Gain 1 Trade}
<hr>
{Splinter}: Scrap a card in your hand or discard pile.",Ship,Unaligned,,,Trade Deck,
Command Deck: Lost Fleet,3,Transport Shard,"{Gain 1 Trade}
<hr>
{Splinter}: Draw a card, then discard a card.",Ship,Unaligned,,,Trade Deck,
Command Deck: Lost Fleet,1,Splinter Tech | Rules (Part 1 of 2),"Whenever you use a {Splinter} ability, choose a faction. You count as having a card of that faction in play this turn.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: Lost Fleet,1,Jochum's Grand Design | Rules (Part 2 of 2),"{Scrap}:
{Gain a Star Empire Ally} {Gain a Trade Federation Ally} {Gain a Machine Cult Ally} {Gain a Blob Ally}
Put a card from your discard pile into your hand.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: Lost Fleet,1,High Admiral Jochum | Rules (Splinter Abilities),"<i>(Hand Size: 7, Starting Authority: 72)</i>",Legendary Commander,,,,Commander | Rules,
Command Deck: Lost Fleet,1,Scorecard (40-70) | Scorecard (00-30),,,,,,Scorecard,
Command Deck: Lost Fleet,1,Scorecard (00-09) | Scorecard (80-89),,,,,,Scorecard,
Command Deck: The Unity,1,Mech Wurm,"You may scrap up to two cards from your hand and/or discard pile. Gain {4 Combat} for each card scrapped in this way.
<hr>
{Unity Ally (Blob or Machine Cult)}: Draw a card.",Ship,Blob / Machine Cult,8,,Trade Deck,
Command Deck: The Unity,1,Cluster Viper,"{Gain 2 Combat}
<hr>
{Blob Ally}: {Gain 1 Combat}",Ship,Unaligned,,,Trade Deck,
Command Deck: The Unity,1,Laser Drone,"{Gain 2 Combat}
<hr>
{Machine Cult Ally}: {Gain 1 Combat}
<hr>
{Double Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,,,Trade Deck,
Command Deck: The Unity,1,Protopod,"{Gain 2 Trade}
<hr>
{Blob Ally}: {Gain 1 Combat}",Ship,Blob,,,Trade Deck,
Command Deck: The Unity,1,Ranger,{Gain 1 Trade} OR {Gain 2 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Unity,4,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Command Deck: The Unity,1,Scout Bot,"{Gain 1 Trade}
<hr>
{Machine Cult Ally}: Choose a card of cost two or less in your discard pile. Put it on top of your deck.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Unity,1,Swarmling,"{Gain 2 Combat}
<hr>
{Blob Ally}: {Gain 1 Combat} You may scrap a card in the trade row.",Ship,Blob,,,Trade Deck,
Command Deck: The Unity,1,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Unity,1,Welder Drone,{Gain 2 Trade} OR {Gain 2 Combat},Ship,Machine Cult,,,Trade Deck,
Command Deck: The Unity,1,Walsh's Stratagem | Rules (Part 1 of 3),"{Scrap}:
{Gain 2 Trade} {Gain a Machine Cult Ally} {Gain a Blob Ally}
Put the next base you acquire this turn directly into play.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Unity,1,Unity Warcraft | Rules (Part 2 of 3),"Your bases get {+1 defense}
Your opponent’s bases get {-1 defense}
<i>(This affects both regular bases and Outposts.)</i>",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Unity,1,Biolord Walsh | Rules (Part 3 of 3),"<i>(Hand Size: 6, Starting Authority: 70)</i>",Legendary Commander,,,,Commander | Rules,
Command Deck: The Unity,1,Scorecard (40-70) | Scorecard (00-30),,,,,,Scorecard,
Command Deck: The Unity,1,Scorecard (00-09) | Scorecard (80-89),,,,,,Scorecard,
Command Deck: The Union,1,Meganaut,"{Gain 7 Combat} Draw a card.
<hr>
{Union Ally (Blob or Star Empire)}: Draw a card.
<hr>
{Scrap}: {Gain 6 Combat}",Ship,Blob / Star Empire,8,,Trade Deck,
Command Deck: The Union,1,Cluster Viper,"{Gain 2 Combat}
<hr>
{Blob Ally}: {Gain 1 Combat}",Ship,Unaligned,,,Trade Deck,
Command Deck: The Union,1,Imperial Scout,"{Gain 1 Trade}
<hr>
{Star Empire Ally}: {Gain 2 Combat}",Ship,Unaligned,,,Trade Deck,
Command Deck: The Union,1,Imperial Talon,"{Gain 2 Combat}
<hr>
{Star Empire Ally}: {Gain 2 Combat}",Ship,Star Empire,,,Trade Deck,
Command Deck: The Union,1,Protopod,"{Gain 2 Trade}
<hr>
{Blob Ally}: {Gain 1 Combat}",Ship,Blob,,,Trade Deck,
Command Deck: The Union,1,Ranger,{Gain 1 Trade} OR {Gain 2 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Union,1,Ripper,{Gain 3 Combat},Ship,Blob,,,Trade Deck,
Command Deck: The Union,4,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Command Deck: The Union,1,Tribute Transport,"{Gain 2 Trade}
OR draw a card, then discard a card.",Ship,Star Empire,,,Trade Deck,
Command Deck: The Union,1,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Union,1,McCready's Maneuver | Rules (Part 1 of 3),"{Scrap}:
{Gain 5 Combat} {Gain a Blob Ally} {Gain a Star Empire Ally}
Draw a card.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Union,1,Union Blitz | Rules (Part 2 of 3),"{Blob Ally}: {Gain 1 Combat}
<hr>
{Star Empire Ally}: {Gain 1 Combat}",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Union,1,Hive Admiral McCready | Rules (Part 3 of 3),"<i>(Hand Size: 6, Starting Authority: 60)</i>",Legendary Commander,,,,Commander | Rules,
Command Deck: The Union,1,Scorecard (40-70) | Scorecard (00-30),,,,,,Scorecard,
Command Deck: The Union,1,Scorecard (00-09) | Scorecard (80-89),,,,,,Scorecard,
Command Deck: The Pact,1,Super Carrier,"You may acquire a ship for free and put it into your hand.
<hr>
{Pact Ally (Blob or Trade Federation)}: Draw a card.",Ship,Blob / Trade Federation,8,,Trade Deck,
Command Deck: The Pact,1,Cluster Scout,"{Gain 1 Trade}
<hr>
{Blob Ally}: {Gain 1 Combat} You may scrap a card in the trade row.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Pact,1,Diplomatic Shuttle,{Gain 1 Trade} OR {Gain 5 Authority},Ship,Trade Federation,,,Trade Deck,
Command Deck: The Pact,1,Escort Viper,"{Gain 1 Combat}
<hr>
{Trade Federation Ally}: {Gain 1 Trade}",Ship,Unaligned,,,Trade Deck,
Command Deck: The Pact,1,Frontier Tug,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: Shuffle the next base you acquire this turn into your deck.",Ship,Trade Federation,,,Trade Deck,
Command Deck: The Pact,1,Ranger,{Gain 1 Trade} OR {Gain 2 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Pact,1,Ripper,{Gain 3 Combat},Ship,Blob,,,Trade Deck,
Command Deck: The Pact,4,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Command Deck: The Pact,1,Swarmling,"{Gain 2 Combat}
<hr>
{Blob Ally}: {Gain 1 Combat} You may scrap a card in the trade row.
",Ship,Blob,,,Trade Deck,
Command Deck: The Pact,1,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Pact,1,Newburg’s Game | Rules (Part 1 of 3),"{Scrap}:
{Gain 3 Combat} {Gain 4 Authority} {Gain a Blob Ally} {Gain a Trade Federation Ally}
Draw a card.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Pact,1,Pact Dominion | Rules (Part 2 of 3),"Each turn, the first time you gain Authority also gain {3 Combat}",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Pact,1,Overlord Newburg | Rules (Part 3 of 3),"<i>(Hand Size: 6, Starting Authority: 66)</i>",Legendary Commander,,,,Commander | Rules,
Command Deck: The Pact,1,Scorecard (40-70) | Scorecard (00-30),,,,,,Scorecard,
Command Deck: The Pact,1,Scorecard (00-09) | Scorecard (80-89),,,,,,Scorecard,
Command Deck: The Coalition,1,Mech Command Ship,"You may scrap up to two cards from your hand and/or discard pile. Gain {3 Authority} for each card scrapped this way.
<hr>
{Coalition Ally (Machine Cult or Trade Federation)}: Draw a card. You may destroy target base.",Ship,Machine Cult / Trade Federation,8,,Trade Deck,
Command Deck: The Coalition,1,Cargo Boat,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: {Gain 2 Authority}",Ship,Trade Federation,,,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - This card's secondary ability is a Trade Federation ally ability."
Command Deck: The Coalition,1,Federation Scout,"{Gain 1 Trade}
<hr>
{Trade Federation Ally}: The next {Trade Federation} card you acquire this turn costs {1 Trade} less.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Frontier Tug,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: Shuffle the next base you acquire this turn into your deck.",Ship,Trade Federation,,,Trade Deck,
Command Deck: The Coalition,1,Laser Drone,"{Gain 2 Combat}
<hr>
{Machine Cult Ally}: {Gain 1 Combat}
<hr>
{Double Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,,,Trade Deck,
Command Deck: The Coalition,1,Ranger,{Gain 1 Trade} OR {Gain 2 Combat},Ship,,,,Trade Deck,
Command Deck: The Coalition,1,Salvage Drone,"{Gain 1 Trade}
OR scrap a card in your hand or discard pile.",Ship,Machine Cult,,,Trade Deck,
Command Deck: The Coalition,4,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Viper Bot,"{Gain 2 Combat}
<hr>
{Machine Cult Ally}: If you’ve scrapped a card from your hand or discard pile this turn, gain {3 Combat}",Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Valken’s Enterprise | Coalition Stronghold,"{Scrap}: Flip this gambit over and put it into play as a base.
|
{Gain 2 Combat} OR {Gain 2 Authority}
If this base would leave play, scrap it instead.",Gambit | Base,,,| 6 Outpost,Gambit | Token,
Command Deck: The Coalition,1,Coalition Efficiency | Rules (Part 1 of 2),"Once per turn, if you would scrap a card in your hand or discard pile, you may choose to gain {5 Authority} instead.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Coalition,1,High Director Valken | Rules (Part 2 of 2),"<i>(Hand Size: 6, Starting Authority: 62)</i>",Legendary Commander,,,,Commander | Rules,
Command Deck: The Coalition,1,Scorecard (40-70) | Scorecard (00-30),,,,,,Scorecard,
Command Deck: The Coalition,1,Scorecard (00-09) | Scorecard (80-89),,,,,,Scorecard,
Command Deck: The Alliance,1,Super Freighter,"{Gain 4 Trade}
Draw two cards.
<hr>
{Alliance Ally (Star Empire or Trade Federation)}: Draw a card.",Ship,Star Empire / Trade Federation,8,,Trade Deck,
Command Deck: The Alliance,1,Cargo Boat,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: {Gain 2 Authority}",Ship,Trade Federation,,,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - This card's secondary ability is a Trade Federation ally ability."
Command Deck: The Alliance,1,Diplomatic Shuttle,{Gain 1 Trade} OR {Gain 5 Authority},Ship,Trade Federation,,,Trade Deck,
Command Deck: The Alliance,1,Federation Scout,"{Gain 1 Trade}
<hr>
{Trade Federation Ally}: The next {Trade Federation} card you acquire this turn costs {1 Trade} less.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Alliance,1,Imperial Viper,"{Gain 1 Combat}
<hr>
{Star Empire Ally}: You may discard a card. If you do, draw a card.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Alliance,1,Ranger,{Gain 1 Trade} OR {Gain 2 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Alliance,4,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Command Deck: The Alliance,1,Stellar Falcon,"{Gain 2 Combat}
<hr>
{Star Empire Ally}: Target opponent discards a card.",Ship,Star Empire,,,Trade Deck,
Command Deck: The Alliance,1,Tribute Transport,"{Gain 2 Trade}
OR draw a card, then discard a card.",Ship,Star Empire,,,Trade Deck,
Command Deck: The Alliance,1,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Alliance,1,Nandi’s Onslaught | Rules (Part 1 of 3),"{Scrap}:
{Gain a Star Empire Ally} {Gain a Trade Federation Ally}
Draw two cards, then you and each opponent discard a card.",Gambit | Rules,,,,Gambit | Rules,
